"Prey","PreyGene","WT_UB_WT_BR_SaintScore","WT_UB_WT_BR_log2FoldChange","WT_UB_WT_BR_MG_SaintScore","WT_UB_WT_BR_MG_log2FoldChange","WT_KO_BR_SaintScore","WT_KO_BR_log2FoldChange","WT_KO_BR_MG_SaintScore","WT_KO_BR_MG_log2FoldChange","SE_UB_WT_BR_SaintScore","SE_UB_WT_BR_log2FoldChange","SE_UB_WT_BR_MG_SaintScore","SE_UB_WT_BR_MG_log2FoldChange","SE_KO_BR_SaintScore","SE_KO_BR_log2FoldChange","SE_KO_BR_MG_SaintScore","SE_KO_BR_MG_log2FoldChange"
"P11142","HSPA8",0,-0.643856189774725,0,0.31034012061215,0,0.250961573533219,0,-0.888968687611256,0,-0.0588936890535686,0.11,1.07724299893246,0.02,0.918386234446348,0,0.356143810225275
"Q9HCC0-2","MCCC2",0,-2.18442457113743,0,-2.18442457113743,0,-1.51457317282976,0,-2.12029423371771,0,-2.55639334852439,0,-3.05889368905357,0,-1.28630418515664,0,-1.94341647163363
"P56537","EIF6",0,0.475084882948783,0,0.411426245726465,0.91,3,0.6,2.58496250072116,0.34,1.19534759832222,0.7,1.83592407425437,0.48,1.50080205305716,0.5,1.41683974191283
"Q9NPE3","NOP10",0,-0.234465253637023,0.02,0.432959407276106,0.29,1.23878685958712,0.01,0.344828496997441,0,-0.184424571137427,0.03,0.75702324650746,0.1,0.584962500721156,0.17,1
"Cont_P02538","Cont_P02538",0,-0.577766999316952,0,0.250961573533219,0,-0.0439433475875971,0,-0.761213140412883,0.17,0.137503523749935,0.01,0.790772037862,0,0.443606651475615,0,-0.184424571137427
"Q9H9Y6-2","POLR1B",0,0.411426245726465,0.03,0.739848102699327,0,0.16349873228288,0,-0.184424571137427,0,-0.888968687611256,0.01,0,0.28,1.16992500144231,0.06,0.584962500721156
"P11387","TOP1",0,-0.217591435072627,0,0.516015147003665,0,-0.577766999316952,0,-0.666576266274808,0,-0.971430847803229,0,-1.28630418515664,0,-0.666576266274808,0,-1
"Cont_P08779","Cont_P08779",0,-0.0588936890535686,0,0.704871964456353,0,-1.39592867633114,0,-0.494109070270043,0,-0.0144995696951151,0,0.367371065648529,0,-0.395928676331139,0,-0.473931188332412
"Cont_P13645","Cont_P13645",0,-0.915935735211525,0,-0.358453970912476,0,-0.251538766995964,0,-0.736965594166206,0,-0.713118852211838,0,-0.0144995696951151,0,0.584962500721156,0,0.622930350920177
"Cont_P02533","Cont_P02533",0,-0.689659879387849,0,-0.15200309344505,0,-0.3040061868901,0,-0.434402824145775,0,-0.713118852211838,0,0.16349873228288,0,0.765534746362977,0,1.01435529297707
"P11498","PC",0,0,0,-0.666576266274808,0,-0.494109070270043,0,-0.713118852211838,0,-0.395928676331139,0,-0.454031630894707,0,-1.88896868761126,0,-1.08926733809709
"Cont_P35908","Cont_P35908",0,-0.713118852211838,0,-0.3040061868901,0,-0.83650126771712,0,-1.35845397091248,0,-0.200912693925996,0,0.485426827170242,0,0.0426443374084937,0,0
"P62701","RPS4X",0,-1.59946207041627,0,-1.59946207041627,0.05,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q96RQ3","MCCC1",0,-1,0,-2.83650126771712,0,-0.577766999316952,0,-1.08926733809709,0,0,0,-0.2688167584278,0,-1.88896868761126,0,-0.643856189774725
